report_date,release_date,release_time,release_timezone,availability_kind,availability_basis,reason,source_url
2023-02-14,2023-03-08,15:30,America/New_York,verified_release,cftc_official_ion_delayed_release_verified,ION cyber-incident delayed release,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2023/futures/ag_sf021423.htm
2023-02-21,2023-03-10,15:30,America/New_York,verified_release,cftc_official_ion_delayed_release_verified,ION cyber-incident delayed release,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2023/futures/ag_sf022123.htm
2023-02-28,2023-03-14,15:30,America/New_York,verified_release,cftc_official_ion_delayed_release_verified,ION cyber-incident delayed release,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2023/futures/ag_sf022823.htm
2023-03-07,2023-03-16,15:30,America/New_York,verified_release,cftc_official_ion_delayed_release_verified,ION cyber-incident delayed release,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2023/futures/ag_sf030723.htm
2023-03-14,2023-03-21,15:30,America/New_York,verified_release,cftc_official_ion_delayed_release_verified,ION cyber-incident delayed release,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2023/futures/ag_sf031423.htm
2023-11-07,2023-11-13,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2023/futures/ag_sf110723.htm
2023-11-21,2023-11-27,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2023/futures/ag_sf112123.htm
2024-06-18,2024-06-24,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2024/futures/ag_sf061824.htm
2024-07-02,2024-07-08,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2024/futures/ag_sf070224.htm
2024-11-26,2024-12-02,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2024/futures/ag_sf112624.htm
2024-12-24,2024-12-30,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2024/futures/ag_sf122424.htm
2024-12-31,2025-01-06,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2024/futures/ag_sf123124.htm
2025-07-01,2025-07-07,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2025/futures/ag_sf070125.htm
