"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4614.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1081.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","723.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","189.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4811.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1081.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4569.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1081.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","667.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Proj.","Annual","142.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Proj.","Annual","5094.00","1000 Metric Tons, Actual Weight","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Beet Sugar","","Sugar","United States","2023/24","","Annual","5172.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Beginning Stocks","","Sugar","United States","2023/24","","Annual","1843.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Cane Sugar","","Sugar","United States","2023/24","","Annual","4141.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Deliveries","","Sugar","United States","2023/24","","Annual","12534.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Ending Stocks","","Sugar","United States","2023/24","","Annual","2131.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Exports","","Sugar","United States","2023/24","","Annual","249.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Exports - Other","","Sugar","United States","2023/24","","Annual","106.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Florida","","Sugar","United States","2023/24","","Annual","2079.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Food","","Sugar","United States","2023/24","","Annual","12428.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","High-tier tariff/other","","Sugar","United States","2023/24","","Annual","1231.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
"660","May 2025","U.S. Sugar Supply and Use","Imports","","Sugar","United States","2023/24","","Annual","3840.00","1000 Short Tons, Raw Value","2025-05-12","12:00:00.0000000","2025","5"
