"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4210.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","1023.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","167.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4771.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1123.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4514.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1077.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","649.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Proj.","Annual","98.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Proj.","Annual","5019.00","1000 Metric Tons, Actual Weight","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Beet Sugar","","Sugar","United States","2023/24","","Annual","5172.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Beginning Stocks","","Sugar","United States","2023/24","","Annual","1843.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Cane Sugar","","Sugar","United States","2023/24","","Annual","4141.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Deliveries","","Sugar","United States","2023/24","","Annual","12443.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Ending Stocks","","Sugar","United States","2023/24","","Annual","2220.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Exports","","Sugar","United States","2023/24","","Annual","249.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Exports - Other","","Sugar","United States","2023/24","","Annual","106.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Florida","","Sugar","United States","2023/24","","Annual","2079.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Food","","Sugar","United States","2023/24","","Annual","12336.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","High-tier tariff/other","","Sugar","United States","2023/24","","Annual","1231.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Imports","","Sugar","United States","2023/24","","Annual","3840.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Louisiana","","Sugar","United States","2023/24","","Annual","2022.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Mexico","","Sugar","United States","2023/24","","Annual","521.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Miscellaneous","","Sugar","United States","2023/24","","Annual","83.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Non-program","","Sugar","United States","2023/24","","Annual","1752.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Other Program","","Sugar","United States","2023/24","","Annual","300.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Production","","Sugar","United States","2023/24","","Annual","9313.00","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
"665","November 2025","U.S. Sugar Supply and Use","Stocks to Use Ratio","","Sugar","United States","2023/24","","Annual","17.40","1000 Short Tons, Raw Value","2025-11-14","12:00:00.0000000","2025","11"
