"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Est.","Annual","4297.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1068.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Est.","Annual","989.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Est.","Annual","52.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Est.","Annual","5179.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1068.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2026/27","Proj.","Annual","4226.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1117.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2026/27","Proj.","Annual","895.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2026/27","Proj.","Annual","28.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2026/27","Proj.","Annual","5142.00","1000 Metric Tons, Actual Weight","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Beet Sugar","","Sugar","United States","2024/25","","Annual","5370.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Beginning Stocks","","Sugar","United States","2024/25","","Annual","2220.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Cane Sugar","","Sugar","United States","2024/25","","Annual","4027.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Deliveries","","Sugar","United States","2024/25","","Annual","12450.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Ending Stocks","","Sugar","United States","2024/25","","Annual","2490.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Exports","","Sugar","United States","2024/25","","Annual","111.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Exports - Other","","Sugar","United States","2024/25","","Annual","111.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Florida","","Sugar","United States","2024/25","","Annual","1932.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Food","","Sugar","United States","2024/25","","Annual","12340.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","High-tier tariff/other","","Sugar","United States","2024/25","","Annual","980.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Imports","","Sugar","United States","2024/25","","Annual","3393.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Louisiana","","Sugar","United States","2024/25","","Annual","2095.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Mexico","","Sugar","United States","2024/25","","Annual","504.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Miscellaneous","","Sugar","United States","2024/25","","Annual","-41.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
